,pairs,p_values
347,"('AIRR', 'FXL')",0.0462297646928386
348,"('AIRR', 'IGM')",0.044381438097352746
349,"('AIRR', 'ILCG')",0.03787172805896846
350,"('AIRR', 'IYW')",0.041922502081975115
351,"('AIRR', 'LIT')",0.024178217482229144
352,"('AIRR', 'PSCI')",6.870643912006244e-05
353,"('AIRR', 'PSCM')",0.03391891421306657
354,"('AIRR', 'PTF')",0.009593599328920864
355,"('AIRR', 'PXQ')",0.006509667922594471
356,"('AIRR', 'QTEC')",0.0392547923547997
357,"('AIRR', 'QVAL')",0.003379086030842752
358,"('AIRR', 'RCD')",0.002825322268414928
359,"('AIRR', 'RPG')",0.01568637074488402
360,"('AIRR', 'SCHG')",0.031825438548225914
361,"('AIRR', 'SDEM')",0.03043312799331018
362,"('AIRR', 'SYLD')",0.02506014575625614
363,"('AIRR', 'VNM')",0.020326950906830614
364,"('AIRR', 'VUG')",0.04680114973046979
365,"('AIRR', 'VUSE')",0.014964449323124736
366,"('AIRR', 'XMVM')",0.03112890410203272
367,"('AIRR', 'XNTK')",0.040085693046836006
368,"('AIVI', 'DDIV')",0.03974390436247219
369,"('AIVI', 'DGRE')",0.04696640903316817
370,"('AIVI', 'DIG')",0.012629606078421333
371,"('AIVI', 'DRIP')",0.004017324236590799
372,"('AIVI', 'DUG')",0.007738319417653333
373,"('AIVI', 'EFNL')",0.044911481403095074
374,"('AIVI', 'EIDO')",0.042533109201076766
375,"('AIVI', 'ERX')",0.014330237358950101
376,"('AIVI', 'ERY')",0.008022227466860158
377,"('AIVI', 'FCG')",0.007792672709268128
378,"('AIVI', 'FENY')",0.010933494620760325
379,"('AIVI', 'FILL')",0.008157431046590415
380,"('AIVI', 'FXN')",0.008755696897192846
381,"('AIVI', 'GUSH')",0.01901128629548288
382,"('AIVI', 'IAT')",0.006402703513517863
383,"('AIVI', 'IEO')",0.00504141863096839
384,"('AIVI', 'IGE')",0.031014452081172306
385,"('AIVI', 'IXC')",0.010914387492419455
386,"('AIVI', 'IYE')",0.011050039052038304
387,"('AIVI', 'KBWB')",0.025439127194356013
388,"('AIVI', 'KRE')",0.04933099118902194
389,"('AIVI', 'PXE')",0.00807652075029314
390,"('AIVI', 'PXI')",0.008988199324235766
391,"('AIVI', 'QAT')",0.04306625336434296
392,"('AIVI', 'RYE')",0.007506963848699859
393,"('AIVI', 'VDE')",0.01053062433768011
